Ensembl Transcript ID	Associated Gene Name
ENST00000380250	FRY
ENST00000409920	ANXA4
ENST00000394295	ANXA4
ENST00000529397	TBCEL
ENST00000528512	TBCEL
ENST00000422003	TBCEL
ENST00000524726	TBCEL
ENST00000533134	TBCEL
ENST00000452236	ZBED9
ENST00000502578	OR12D3
ENST00000551240	OR12D3
ENST00000432796	HOXD3
ENST00000410016	HOXD3
ENST00000249440	HOXD3
ENST00000579192	SLC25A35
ENST00000380067	SLC25A35
ENST00000580340	SLC25A35
ENST00000577745	SLC25A35
ENST00000504087	ANKRD50
ENST00000515641	ANKRD50
ENST00000222598	DLX5
ENST00000486603	DLX5
ENST00000566037	PHKB
ENST00000566044	PHKB
ENST00000299167	PHKB
ENST00000323584	PHKB
ENST00000563376	PHKB
ENST00000567200	PHKB
ENST00000564873	PHKB
ENST00000568439	PHKB
ENST00000566275	PHKB
ENST00000564711	PHKB
ENST00000340020	AIDA
ENST00000355727	AIDA
ENST00000307584	MURC
ENST00000343735	CLDN18
ENST00000183605	CLDN18
ENST00000379445	CTXN3
ENST00000395322	CTXN3
ENST00000620385	CTXN3
ENST00000572428	TVP23A
ENST00000299866	TVP23A
ENST00000572102	TVP23A
ENST00000619408	TVP23A
ENST00000612195	TVP23A
ENST00000342784	SYDE1
ENST00000597977	SYDE1
ENST00000600440	SYDE1
ENST00000600252	SYDE1
ENST00000602203	SYDE1
ENST00000404583	CDPF1
ENST00000314567	CDPF1
ENST00000404744	CDPF1
ENST00000494710	DNAJC6
ENST00000395325	DNAJC6
ENST00000371069	DNAJC6
ENST00000263441	DNAJC6
ENST00000342287	PBX3
ENST00000373487	PBX3
ENST00000373489	PBX3
ENST00000491787	PBX3
ENST00000447726	PBX3
ENST00000428092	PBX3
ENST00000432126	KIAA0141
ENST00000194118	KIAA0141
ENST00000508751	KIAA0141
ENST00000507481	KIAA0141
ENST00000508780	GLRX
ENST00000237858	GLRX
ENST00000379979	GLRX
ENST00000505427	GLRX
ENST00000512469	GLRX
ENST00000597505	DCDC1
ENST00000452803	DCDC1
ENST00000406071	DCDC1
ENST00000302957	OR9G4
ENST00000267938	UBE2Q2
ENST00000569423	UBE2Q2
ENST00000561851	UBE2Q2
ENST00000426727	UBE2Q2
ENST00000435204	HLA-DMB
ENST00000441177	HLA-DMB
ENST00000418759	HLA-DMB
ENST00000424822	HLA-DMB
ENST00000430099	HLA-DMB
ENST00000261700	C14orf166
ENST00000556760	C14orf166
ENST00000553362	C14orf166
ENST00000394236	PROS1
ENST00000407433	PROS1
ENST00000348974	PROS1
ENST00000472684	PROS1
ENST00000300413	SNRPD1
ENST00000579618	SNRPD1
ENST00000582475	SNRPD1
ENST00000417946	CPS1
ENST00000518043	CPS1
ENST00000523702	CPS1
ENST00000430249	CPS1
ENST00000233072	CPS1
ENST00000451903	CPS1
ENST00000619804	CPS1
ENST00000321728	PRKCB
ENST00000303531	PRKCB
ENST00000498058	PRKCB
ENST00000498739	PRKCB
